country,region,region_code,start_date,end_date,days,year,week,population,total_deaths,covid_deaths,expected_deaths,excess_deaths,non_covid_deaths,covid_deaths_per_100k,excess_deaths_per_100k,excess_deaths_pct_change,zscore_total_deaths,normalized_total_deaths,month
Hungary,Hungary,0,2021-07-05,2021-07-11,7,2021,27,9709786,2362.0,12,2177.26629213483,184.733707865167,2350.0,0.123586657831594,1.9025517953245,0.0848466301676112,-0.31738517209366124,-0.3749537929159943,7
Hungary,Hungary,0,2021-07-12,2021-07-18,7,2021,28,9709786,2425.0,11,2239.26629213484,185.733707865165,2414.0,0.113287769678961,1.91285068347711,0.0829440020231305,-0.31139080227947236,-0.36290529497544655,7
Hungary,Hungary,0,2021-07-19,2021-07-25,7,2021,29,9709786,2108.0,5,2237.46629213483,-129.466292134831,2103.0,0.0514944407631641,-1.33335886223271,-0.057862901707137,-0.34155294880483544,-0.423530276676298,7
Hungary,Hungary,0,2021-07-26,2021-08-01,7,2021,30,9709786,2508.0,6,2338.66629213483,169.333707865167,2502.0,0.0617933289157969,1.74394891777396,0.0724061010477024,-0.30349345792109655,-0.34703187705377253,7
Hungary,Hungary,0,2021-08-02,2021-08-08,7,2021,31,9709786,2184.0,7,2267.66629213484,-83.6662921348352,2177.0,0.0720922170684297,-0.86166978484217,-0.036895328216955,-0.33432164553692506,-0.4089955807480182,8
Hungary,Hungary,0,2021-08-09,2021-08-15,7,2021,32,9709786,2352.0,5,2243.06629213483,108.933707865167,2347.0,0.0514944407631641,1.12189607335493,0.0485646403974502,-0.3183366593657547,-0.37686625290655745,8
Hungary,Hungary,0,2021-08-16,2021-08-22,7,2021,33,9709786,2205.0,8,2264.86629213483,-59.8662921348341,2197.0,0.0823911052210625,-0.616556246809498,-0.0264325944285219,-0.33232352226552875,-0.40497941476783555,8
Hungary,Hungary,0,2021-08-23,2021-08-29,7,2021,34,9709786,2165.0,11,2149.46629213483,15.5337078651692,2154.0,0.113287769678961,0.15997991989905,0.0072267743495257,-0.33612947135390264,-0.4126292547300881,8
Hungary,Hungary,0,2021-08-30,2021-09-05,7,2021,35,9709786,2274.0,4,2251.86629213483,22.1337078651654,2270.0,0.0411955526105313,0.227952581706388,0.0098290506601022,-0.32575826008808384,-0.3917834408329499,8
Hungary,Hungary,0,2021-09-06,2021-09-12,7,2021,36,9709786,2404.0,25,2181.86629213483,222.133707865167,2379.0,0.25747220381582,2.28773021223297,0.101809037825056,-0.31338892555086867,-0.3669214609556291,9
Hungary,Hungary,0,2021-09-13,2021-09-19,7,2021,37,9709786,2470.0,37,2229.66629213484,240.333707865165,2433.0,0.381058861647414,2.47516997661086,0.107789093243656,-0.3071091095550518,-0.35429922501791244,9
Hungary,Hungary,0,2021-09-20,2021-09-26,7,2021,38,9709786,2375.0,28,2274.26629213483,100.733707865167,2347.0,0.288368868273719,1.03744519050334,0.0442928377444367,-0.31614823863993974,-0.37246759492826226,9
Hungary,Hungary,0,2021-09-27,2021-10-03,7,2021,39,9709786,2423.0,48,2313.66629213483,109.333707865168,2375.0,0.494346631326375,1.126015628616,0.0472556082252844,-0.3115810997338911,-0.3632877869735592,9
Hungary,Hungary,0,2021-10-04,2021-10-10,7,2021,40,9709786,2534.0,76,2359.66629213483,174.333707865167,2458.0,0.782715499600094,1.79544335853712,0.0738806620437193,-0.30101959101365355,-0.34205948107830836,10
Hungary,Hungary,0,2021-10-11,2021-10-17,7,2021,41,9709786,2665.0,76,2410.26629213483,254.733707865167,2589.0,0.782715499600094,2.6234739660088,0.105686956124481,-0.28855510774922905,-0.31700625520193126,10
Hungary,Hungary,0,2021-10-18,2021-10-24,7,2021,42,9709786,2670.0,141,2386.06629213483,283.933707865166,2529.0,1.45214322952123,2.92420150006567,0.118996571386595,-0.2880793641131823,-0.3160500252066497,10
Hungary,Hungary,0,2021-10-25,2021-10-31,7,2021,43,9709786,2973.0,237,2371.46629213483,601.533707865166,2736.0,2.44083649217398,6.19512837734185,0.253654757759032,-0.2592492997687501,-0.25810248749258663,10
Hungary,Hungary,0,2021-11-01,2021-11-07,7,2021,44,9709786,3334.0,455,2344.46629213483,989.533707865166,2879.0,4.68599410944793,10.1910969805634,0.42207205588105,-0.22490060924617572,-0.18906268183325736,11
Hungary,Hungary,0,2021-11-08,2021-11-14,7,2021,45,9709786,3530.0,683,2363.26629213483,1166.73370786517,2847.0,7.03414060824821,12.01605996121,0.49369540442741,-0.20625145871314365,-0.1515784660182199,11
Hungary,Hungary,0,2021-11-15,2021-11-21,7,2021,46,9709786,3670.0,913,2355.66629213483,1314.33370786517,2757.0,9.40288488335376,13.5361758525386,0.557945627635589,-0.19293063690383505,-0.12480402615033596,11
Hungary,Hungary,0,2021-11-22,2021-11-28,7,2021,47,9709786,4029.0,1086,2425.86629213483,1603.13370786517,2943.0,11.1845925337592,16.5104947510189,0.660849987100636,-0.1587722438356794,-0.05614671248911933,11
Hungary,Hungary,0,2021-11-29,2021-12-05,7,2021,48,9709786,4154.0,1256,2414.26629213483,1739.73370786517,2898.0,12.9354035197068,17.9173228726686,0.720605557693803,-0.14687865293451097,-0.03224096260708011,11
